stolica woj..;województwo;miasta_n_p_pow;XA02;XA03;XA04;XA05;XA06;XA17;XA19
1;Lubelskie;City;124252,00;4960,00;22277,00;97015,00;7,90;1643,50;56090,00
0;Lubelskie;City;15473,00;1606,00;3257,00;10610,00;14,70;90,70;9986,00
0;Lubelskie;City;19054,00;1774,00;3179,00;14101,00;14,00;126,60;10826,00
0;Małopolskie;County;40957,00;1377,00;14111,00;25469,00;8,20;342,60;17586,00
0;Małopolskie;County;29632,00;11958,00;8253,00;9421,00;7,00;367,20;22045,00
0;Małopolskie;County;34628,00;6214,00;12754,00;15660,00;9,50;879,00;27307,00
0;Małopolskie;County;45797,00;21486,00;7797,00;16514,00;10,70;279,90;39544,00
0;Małopolskie;County;34037,00;18795,00;5410,00;9832,00;11,30;121,50;21617,00
0;Małopolskie;County;69276,00;19844,00;18413,00;31019,00;6,50;1231,80;53471,00
0;Małopolskie;County;39419,00;23131,00;6036,00;10252,00;13,50;128,40;30830,00
0;Małopolskie;County;16409,00;10585,00;807,00;5017,00;8,80;86,00;8468,00
0;Małopolskie;County;32248,00;13918,00;7792,00;10538,00;7,50;239,10;27081,00
0;Małopolskie;County;51072,00;27300,00;8621,00;15151,00;13,60;333,30;49549,00
0;Małopolskie;County;33085,00;1074,00;11040,00;20971,00;7,60;450,30;15710,00
0;Małopolskie;County;40035,00;11454,00;13410,00;15171,00;8,70;333,60;31834,00
0;Małopolskie;County;26672,00;13316,00;5190,00;8166,00;10,30;321,90;18656,00
0;Małopolskie;County;14246,00;9990,00;622,00;3634,00;9,40;33,10;7814,00
0;Małopolskie;County;17520,00;11474,00;1785,00;4261,00;16,10;32,90;10831,00
0;Małopolskie;County;23126,00;10214,00;6093,00;6819,00;8,00;164,50;17147,00
0;Małopolskie;County;27421,00;2408,00;12023,00;12990,00;11,90;455,50;20588,00
0;Małopolskie;County;52455,00;31718,00;7591,00;13146,00;11,60;667,00;40353,00
0;Małopolskie;City;17183,00;6653,00;1142,00;9388,00;12,90;204,80;13131,00
0;Małopolskie;County;27530,00;6231,00;9894,00;11405,00;7,60;645,00;25242,00
1;Małopolskie;City;320625,00;4489,00;63170,00;252966,00;4,40;4655,40;120953,00
0;Małopolskie;City;32090,00;8302,00;11637,00;12151,00;12,30;393,20;18794,00
0;Łódzkie;City;25185,00;854,00;8446,00;15885,00;9,30;307,40;13150,00
0;Łódzkie;City;12359,00;657,00;4407,00;7295,00;9,10;161,50;8734,00
0;Łódzkie;County;42248,00;6997,00;19725,00;15526,00;8,80;2590,70;20710,00
0;Łódzkie;County;29467,00;8945,00;9316,00;11206,00;14,20;555,30;15590,00
0;Łódzkie;County;12827,00;5625,00;3024,00;4178,00;13,20;63,30;8571,00
0;Łódzkie;County;16270,00;9119,00;2459,00;4692,00;12,30;84,50;8681,00
0;Łódzkie;County;25568,00;13066,00;5151,00;7351,00;8,50;209,50;14131,00
0;Łódzkie;County;16771,00;3848,00;5618,00;7305,00;10,10;136,90;13074,00
0;Łódzkie;County;22905,00;10231,00;5401,00;7273,00;10,00;215,30;15079,00
0;Łódzkie;County;28524,00;4167,00;11654,00;12703,00;11,40;245,90;19403,00
0;Łódzkie;County;14887,00;7750,00;3296,00;3841,00;9,60;145,10;9185,00
0;Łódzkie;County;24502,00;13964,00;3035,00;7503,00;9,80;54,70;17899,00
0;Łódzkie;County;12487,00;7555,00;1946,00;2986,00;11,40;305,80;7087,00
0;Łódzkie;County;30872,00;9444,00;9469,00;11959,00;11,20;368,50;19851,00
0;Łódzkie;County;16633,00;8425,00;2674,00;5534,00;6,70;123,90;9145,00
0;Łódzkie;County;38846,00;18829,00;6970,00;13047,00;10,60;193,00;21462,00
0;Łódzkie;County;12518,00;8841,00;1791,00;1886,00;6,50;87,40;7386,00
0;Łódzkie;County;31998,00;9307,00;9490,00;13201,00;11,60;410,50;21340,00
0;Łódzkie;County;24293,00;10615,00;6258,00;7420,00;10,00;84,30;14145,00
0;Łódzkie;County;17996,00;3092,00;7785,00;7119,00;12,60;163,60;12086,00
0;Łódzkie;County;13752,00;4983,00;5319,00;3450,00;7,60;84,30;7940,00
0;Łódzkie;County;39799,00;6925,00;14569,00;18305,00;12,60;550,40;28334,00
0;Łódzkie;County;7732,00;3601,00;1297,00;2834,00;12,50;34,70;5484,00
1;Łódzkie;City;233993,00;1996,00;58661,00;173336,00;9,50;3584,00;100175,00
0;Lubuskie;County;23298,00;3372,00;10111,00;9815,00;9,70;284,70;17508,00
0;Lubuskie;County;9083,00;2778,00;2751,00;3554,00;12,10;155,50;7763,00
1;Lubuskie;City;43208,00;727,00;9870,00;32611,00;6,30;483,60;24013,00
0;Lubuskie;City;41448,00;1071,00;14842,00;25535,00;5,10;598,80;21163,00
0;Lubuskie;County;17323,00;4618,00;7641,00;5064,00;8,10;622,50;14029,00
0;Lubuskie;County;10721,00;3057,00;2789,00;4875,00;17,00;325,80;9932,00
0;Lubuskie;County;13278,00;2515,00;4849,00;5914,00;15,90;83,50;10380,00
0;Lubuskie;County;17544,00;2660,00;7315,00;7569,00;17,90;305,50;16082,00
0;Lubuskie;County;10577,00;1465,00;2571,00;6541,00;6,30;142,00;8944,00
0;Lubuskie;County;11299,00;3472,00;3946,00;3881,00;17,60;66,40;9415,00
0;Lubuskie;County;7779,00;1924,00;1988,00;3867,00;11,70;57,90;6709,00
0;Lubuskie;County;17824,00;1909,00;8116,00;7799,00;9,00;165,40;10488,00
0;Lubuskie;County;13033,00;2754,00;3865,00;6414,00;17,90;153,40;14273,00
0;Podkarpackie;County;20374,00;12399,00;2131,00;5844,00;20,70;40,30;13195,00
0;Podkarpackie;County;5590,00;2790,00;526,00;2274,00;20,50;54,20;3884,00
0;Podkarpackie;County;45283,00;17023,00;13459,00;14801,00;11,00;709,20;26301,00
0;Podkarpackie;County;38109,00;16312,00;8638,00;13159,00;15,70;182,10;22689,00
0;Podkarpackie;County;17696,00;9340,00;2515,00;5841,00;13,30;59,10;11907,00
0;Podkarpackie;County;39117,00;19112,00;9109,00;10896,00;15,20;144,00;20630,00
0;Podkarpackie;County;26299,00;14638,00;4121,00;7540,00;13,80;88,60;21841,00
0;Podkarpackie;County;19613,00;10187,00;3463,00;5963,00;17,40;83,10;13220,00
0;Podkarpackie;County;18332,00;11785,00;1231,00;5316,00;13,80;26,00;10111,00
0;Podkarpackie;County;21876,00;9953,00;4700,00;7223,00;15,00;127,10;15915,00
0;Podkarpackie;County;49054,00;14639,00;20232,00;14183,00;11,00;520,30;25648,00
0;Mazowieckie;County;21794,00;8535,00;4922,00;8337,00;8,30;170,90;15115,00
0;Opolskie;County;18723,00;3503,00;6586,00;8634,00;13,80;276,40;15989,00
0;Wielkopolskie;County;12284,00;2471,00;5856,00;3957,00;11,20;138,90;9323,00
0;Wielkopolskie;County;17475,00;6624,00;6041,00;4810,00;6,80;149,10;10876,00
0;Mazowieckie;City;35237,00;17703,00;7060,00;10474,00;4,50;563,80;18606,00
0;Mazowieckie;County;24529,00;1174,00;7288,00;16067,00;7,90;217,60;14903,00
0;Mazowieckie;City;55617,00;2311,00;16781,00;36525,00;18,40;641,20;37131,00
1;Mazowieckie;City;46842,00;5283,00;11528,00;30031,00;6,30;418,60;38601,00
0;Wielkopolskie;County;22848,00;4192,00;10805,00;7851,00;3,90;313,00;15524,00
0;Wielkopolskie;County;15388,00;3238,00;7239,00;4911,00;6,70;175,40;12315,00
0;Opolskie;County;27367,00;6946,00;7401,00;13020,00;14,30;363,70;21941,00
0;Opolskie;County;17778,00;7303,00;5339,00;5136,00;7,40;162,40;10541,00
0;Wielkopolskie;County;16247,00;6168,00;6020,00;4059,00;5,10;223,60;11838,00
0;Wielkopolskie;County;8036,00;2102,00;2439,00;3495,00;7,20;194,30;7235,00
0;Opolskie;County;18664,00;4321,00;6301,00;8042,00;7,40;436,50;11995,00
1;Opolskie;City;52906,00;540,00;12475,00;39891,00;5,30;577,60;17862,00
0;Opolskie;County;23175,00;3719,00;8166,00;11290,00;11,80;545,90;14752,00
0;Opolskie;County;21250,00;3654,00;11705,00;5891,00;7,90;233,50;10099,00
0;Wielkopolskie;County;38096,00;6540,00;12764,00;18792,00;8,00;554,00;25955,00
0;Mazowieckie;City;868103,00;5717,00;107001,00;755385,00;3,30;22974,50;291837,00
0;Opolskie;County;8882,00;2362,00;2936,00;3584,00;12,40;104,40;7532,00
0;Wielkopolskie;County;23403,00;6330,00;9510,00;7563,00;8,30;157,20;17455,00
0;Wielkopolskie;County;49759,00;11359,00;20449,00;17951,00;5,90;529,90;29842,00
0;Opolskie;County;25521,00;5760,00;10812,00;8949,00;10,20;3125,50;21311,00
0;Opolskie;County;11774,00;4147,00;2500,00;5127,00;15,20;69,80;9182,00
0;Opolskie;County;14467,00;3682,00;4407,00;6378,00;10,70;150,60;10626,00
0;Opolskie;County;11536,00;3967,00;2671,00;4898,00;14,10;55,00;7563,00
0;Mazowieckie;City;21034,00;9855,00;4785,00;6394,00;12,50;146,80;13732,00
0;Podlaskie;County;6341,00;4510,00;252,00;1579,00;16,70;72,00;3540,00
0;Wielkopolskie;County;21281,00;5708,00;4245,00;11328,00;12,10;102,00;13722,00
0;Wielkopolskie;County;25847,00;7410,00;9577,00;8860,00;5,80;330,40;15443,00
0;Podlaskie;County;22002,00;13883,00;3418,00;4701,00;7,70;146,70;10776,00
0;Świętokrzyskie;County;29418,00;18503,00;2343,00;8572,00;7,10;132,20;12198,00
0;Wielkopolskie;County;17657,00;7043,00;4434,00;6180,00;6,80;86,50;12419,00
0;Wielkopolskie;County;15669,00;3656,00;6142,00;5871,00;10,90;124,50;11478,00
0;Wielkopolskie;County;16316,00;4007,00;5663,00;6646,00;5,50;140,30;12311,00
0;Wielkopolskie;City;34099,00;1957,00;12002,00;20140,00;5,50;392,10;17272,00
0;Wielkopolskie;City;24082,00;839,00;7785,00;15458,00;11,20;496,00;11943,00
0;Świętokrzyskie;County;26442,00;15160,00;4204,00;7078,00;11,90;107,20;15698,00
0;Wielkopolskie;County;23034,00;7665,00;8398,00;6971,00;8,30;407,90;14891,00
0;Podlaskie;County;15446,00;11144,00;1867,00;2435,00;11,50;194,10;9920,00
0;Wielkopolskie;City;22863,00;453,00;9039,00;13371,00;5,60;152,10;11740,00
0;Wielkopolskie;County;23583,00;4798,00;13875,00;4910,00;2,60;296,60;11091,00
0;Wielkopolskie;County;24215,00;10649,00;6735,00;6831,00;12,80;146,40;16389,00
0;Podlaskie;County;14588,00;6524,00;2879,00;5185,00;15,60;177,40;10468,00
0;Podlaskie;County;32310,00;14482,00;7987,00;9841,00;14,30;238,00;26057,00
0;Podlaskie;County;12271,00;8714,00;882,00;2675,00;12,10;53,00;6946,00
0;Świętokrzyskie;County;13490,00;10486,00;537,00;2467,00;10,50;10,30;5284,00
0;Świętokrzyskie;County;48409,00;26464,00;7819,00;14126,00;15,30;284,10;40309,00
0;Podlaskie;City;19935,00;1118,00;7242,00;11575,00;8,50;155,10;13044,00
0;Podlaskie;County;20922,00;12654,00;2546,00;5722,00;15,00;50,10;11445,00
0;Wielkopolskie;County;31820,00;14455,00;8103,00;9262,00;15,00;374,80;25795,00
0;Wielkopolskie;County;20177,00;6081,00;5603,00;8493,00;5,80;193,00;15047,00
0;Podlaskie;County;13492,00;5772,00;3424,00;4296,00;12,00;137,30;8225,00
1;Podlaskie;City;86604,00;2938,00;17459,00;66207,00;10,50;1039,40;50276,00
0;Wielkopolskie;County;28868,00;9254,00;11444,00;8170,00;7,00;168,40;16277,00
0;Wielkopolskie;County;15890,00;5071,00;4754,00;6065,00;10,60;204,50;14365,00
0;Podlaskie;County;19054,00;8803,00;5243,00;5008,00;7,60;144,60;9142,00
0;Podlaskie;City;15544,00;1168,00;3235,00;11141,00;13,40;147,60;10918,00
0;Podlaskie;County;12554,00;5737,00;2641,00;4176,00;18,10;111,70;8792,00
0;Podlaskie;County;11371,00;8039,00;1327,00;2005,00;7,10;283,40;7012,00
0;Wielkopolskie;County;120105,00;9248,00;47643,00;63214,00;2,70;2453,80;80712,00
0;Wielkopolskie;County;17531,00;6261,00;6107,00;5163,00;6,30;124,00;10943,00
0;Wielkopolskie;County;20584,00;6235,00;6279,00;8070,00;3,90;174,20;11908,00
0;Wielkopolskie;County;21635,00;5082,00;9652,00;6901,00;9,30;1929,50;15198,00
0;Wielkopolskie;County;19072,00;6778,00;5344,00;6950,00;7,00;138,90;12118,00
0;Wielkopolskie;County;28359,00;5321,00;12304,00;10734,00;5,90;371,10;17971,00
0;Wielkopolskie;County;16000,00;6495,00;3659,00;5846,00;11,30;92,70;11252,00
1;Wielkopolskie;City;239077,00;1925,00;49401,00;187751,00;2,40;3629,80;86233,00
0;Wielkopolskie;County;32911,00;6901,00;10016,00;15994,00;9,50;344,60;28576,00
0;Wielkopolskie;County;19030,00;5004,00;7246,00;6780,00;8,90;210,10;14009,00
0;Wielkopolskie;County;24460,00;15455,00;4149,00;4856,00;5,20;121,00;16118,00
0;Podlaskie;County;13265,00;4535,00;3860,00;4870,00;10,20;109,70;6226,00
0;Podlaskie;County;12707,00;7535,00;1682,00;3490,00;10,00;95,00;7216,00
0;Podlaskie;County;11905,00;8507,00;892,00;2506,00;16,80;40,10;7391,00
0;Pomorskie;County;25527,00;3043,00;8010,00;14474,00;6,10;424,40;24304,00
0;Pomorskie;County;26273,00;258,00;8214,00;17801,00;7,90;227,60;14694,00
0;Pomorskie;County;29647,00;5783,00;10745,00;13119,00;11,40;501,40;26632,00
0;Świętokrzyskie;County;15764,00;7616,00;4128,00;4020,00;9,00;160,70;8153,00
0;Pomorskie;County;15027,00;2013,00;4997,00;8017,00;12,00;269,10;18155,00
0;Pomorskie;County;23892,00;3913,00;9865,00;10114,00;9,10;276,50;17155,00
1;Świętokrzyskie;City;75421,00;1389,00;20108,00;53924,00;8,80;892,90;30773,00
0;Świętokrzyskie;County;27469,00;7746,00;11569,00;8154,00;12,70;283,30;14977,00
0;Świętokrzyskie;County;24936,00;11221,00;6117,00;7598,00;9,60;212,70;13091,00
0;Świętokrzyskie;County;19743,00;6511,00;5917,00;7315,00;17,20;198,10;13535,00
0;Pomorskie;City;18280,00;5565,00;5428,00;7287,00;10,50;174,30;16106,00
0;Pomorskie;County;12473,00;1402,00;4425,00;6646,00;14,70;457,90;13121,00
0;Pomorskie;County;21733,00;4732,00;9723,00;7278,00;15,40;345,50;19226,00
0;Świętokrzyskie;County;17140,00;10950,00;1929,00;4261,00;19,50;74,50;9098,00
0;Świętokrzyskie;County;25487,00;6754,00;7204,00;11529,00;17,60;147,00;17436,00
0;Pomorskie;City;10308,00;1386,00;2641,00;6281,00;19,50;125,40;12053,00
0;Pomorskie;County;159469,00;1276,00;33677,00;124516,00;4,00;4405,50;75649,00
0;Świętokrzyskie;County;14460,00;2027,00;4406,00;8027,00;22,50;108,00;11452,00
0;Pomorskie;County;31471,00;9622,00;10140,00;11709,00;5,40;296,60;32918,00
0;Pomorskie;County;7274,00;2025,00;2003,00;3246,00;16,30;127,20;8500,00
0;Pomorskie;County;6183,00;1794,00;1506,00;2883,00;23,40;54,40;6849,00
0;Świętokrzyskie;County;13989,00;8435,00;1722,00;3832,00;8,70;30,20;6466,00
0;Świętokrzyskie;County;28924,00;15770,00;3960,00;9194,00;8,90;178,50;13225,00
0;Pomorskie;County;19465,00;5333,00;7327,00;6805,00;17,60;134,50;16481,00
0;Zachodniopomorskie;County;8208,00;2803,00;1825,00;3580,00;23,40;48,50;8936,00
0;Zachodniopomorskie;County;12340,00;3172,00;4516,00;4652,00;21,70;69,60;10720,00
0;Dolnośląskie;County;10189,00;2916,00;3061,00;4212,00;17,30;59,10;8657,00
0;Dolnośląskie;County;9741,00;1798,00;3637,00;4306,00;11,60;75,60;7427,00
0;Zachodniopomorskie;County;111379,00;1492,00;22166,00;87721,00;6,80;1866,50;63114,00
1;Dolnośląskie;City;263070,00;1963,00;49138,00;211969,00;3,30;4655,90;98253,00
0;Zachodniopomorskie;County;10769,00;3099,00;3089,00;4581,00;20,00;186,40;10704,00
0;Śląskie;County;28072,00;11641,00;7906,00;8525,00;14,70;201,80;23014,00
0;Warmińsko-Mazurskie;County;12255,00;4027,00;4196,00;4032,00;22,90;257,20;11580,00
0;Warmińsko-Mazurskie;County;19652,00;3377,00;6686,00;9589,00;19,10;403,80;17833,00
0;Warmińsko-Mazurskie;County;11203,00;3267,00;2584,00;5352,00;16,00;69,80;10187,00
0;Warmińsko-Mazurskie;County;25937,00;5552,00;11700,00;8685,00;7,30;369,10;18638,00
0;Warmińsko-Mazurskie;County;11508,00;3197,00;3258,00;5053,00;27,40;69,60;11101,00
0;Warmińsko-Mazurskie;County;8860,00;2865,00;2671,00;3324,00;22,20;161,80;7598,00
0;Warmińsko-Mazurskie;County;11409,00;3009,00;3444,00;4956,00;17,50;105,40;9276,00
0;Warmińsko-Mazurskie;County;7442,00;1673,00;2782,00;2987,00;14,80;28,70;6452,00
0;Warmińsko-Mazurskie;County;11175,00;4822,00;3158,00;3195,00;14,60;131,00;9422,00
0;Warmińsko-Mazurskie;County;9128,00;2715,00;2966,00;3447,00;18,50;98,00;6789,00
